Úroveň záhlaví	Nadpis	Odkaz	Popis
1	Vyhledávání		
	Google	https://google.cz/	lze hledat webové stránky i obrázky, obvykle je nutné vyzkoušet několik nalezených stránek, které jsou první ve výsledcích vyhledávání; příklady, co zadat jako klíčová slova: ibuprofen leták, zámečník Praha, předvolební průzkum
1	Vyhledávání zboží
	Heuréka.cz	https://heureka.cz/	Hledání zboží v internetových obchodech v ČR
	Zboží.cz	https://zbozi.cz/	Hledání zboží v internetových obchodech v ČR
1	Noviny
	ČT24	https://ct24.ceskatelevize.cz/
	Novinky	https://www.novinky.cz/
	Český rozhlas	https://www.irozhlas.cz/
1	Pronájem městských bytů
		https://www.taborcz.eu/pronajem-bytu/ds-1135	město Tábor - pronájem bytů
1	Lékaři a léky
	MUDr. Audy	http://mudraudy.cz/	otvírací doba, upozornění na plánovanou dovolenou, kontaktní informace
	Příbalové letáky	https://pribalovy-letak.cz/	příbalové letáky k lékům, nutné najít lék naprosto přesně včetně obsahu účinné látky
	Domácí lékárnička	https://www.google.com/search?q=dom%C3%A1c%C3%AD+l%C3%A9k%C3%A1rni%C4%8Dka	co by měla obsahovat domácí lékárnička
1	Diety
2	Nemoc dna		
	Obecně o dně	https://www.nemoc-dna.eu/	
	Tabulka potravin podle purinů	https://www.nemoc-dna.eu/tabulka-potravin-podle-obsahu-purinu-ndn-1225-11299.html	
	Jídelníček při dně	https://www.nemoc-dna.eu/jidelnicek-pri-dne-ndn-1224-10799.html	
	Leták od MUDr. Audyho	https://photos.app.goo.gl/g5JfsfgKsSJjAKj29	leták doporučených a zakázaných potravin od společnosti EGIS Praha, s.r.o. ve spolupráci s MUDr. Jurajem Minárikem
	Popis onemocnění dna	https://www.wikiskripta.eu/w/Arthritis_uratica	
		https://www.wikiskripta.eu/w/Dieta_p%C5%99i_kloubn%C3%ADm_onemocn%C4%9Bn%C3%AD	dieta při kloubním onemocnění
		https://www.bezhladoveni.cz/v-kterych-potravinach-najdete-nejvice-purinu/	stručný přehled některých potravin
		https://www.bezhladoveni.cz/prehledna-tabulka-obsah-purinu-v-potravinach/	další tabulky potravin (puriny mg/100g), rozepsané na jednotlivé puriny
2	Warfarinová dieta (přísné omezení vitamínu K)		
		https://www.kardiochirurgie.cz/novinky/uzivate-warfarin-pozor-na-to-co-jite-701	
		https://www.lecba-warfarinem.cz/strava-a-warfarin/vitamin-k/	
		https://www.lecba-warfarinem.cz/strava-a-warfarin/vitamin-k1-v-potravinach/	vitamín K₁ v potravinách
		https://www.wikiskripta.eu/w/Warfarin	popis léku warfarin
		https://www.warfarin-dieta.cz/warfarin-a-maso-wrd-1229-11309.html	další stručné informace
2	Diabetická dieta		
		https://www.wikiskripta.eu/w/Dieta_p%C5%99i_DM_2._typu	popis diabetu 2. typu
		https://www.wikiskripta.eu/w/R%C3%A1mcov%C3%BD_j%C3%ADdeln%C3%AD_l%C3%ADstek_pro_diabetickou_dietu	rámcový jídelní lístek pro diabetickou dietu
		https://www.wikiskripta.eu/w/Diabetick%C3%A9_potraviny	diabetické potraviny
1	Mapy
	Mapy od Seznam.cz	https://mapy.cz/	
	Mapy od Google	https://maps.google.cz/	
1	Předpověď počasí		
	Předpověď pro Tábor od Seznamu	https://pocasi.seznam.cz/tabor	v případě potřeby nezapomenout přepnout město
	Předpověď pro Tábor od norské instituce	https://www.yr.no/en/forecast/daily-table/2-3064379/Czech%20Republic/Jiho%C4%8Desk%C3%BD%20kraj/T%C3%A1bor%20District/T%C3%A1bor	
1	Jízdní řády		
	Jízdní řády od idnes.cz	https://idos.cz/	
1	E-mailová komunikace		
		https://gmail.com/	e-mailová schránka na Gmailu (u Google)
		https://email.seznam.cz/	e-mailová schránka na seznamu
1	Encyklopedie		
	Česká Wikipedie	https://cs.wikipedia.org/	Wikipedie (česky)
	Mezinárodní Wikipedie (anglicky)	https://en.wikipedia.org/	Wikipedie (anglicky, obsahuje o trochu více informací než česká)
1	Technologické zajímavosti		
	100+1	https://stoplusjednicka.cz/	elektronická verze časopisu 100+1 zahraniční zajímavost
	Hyde park civilizace	https://hydeparkcivilizace.cz/	informace o příštím dílu a archív dílů pořadu Hyde Park Civilizace
		https://technet.cz/	z velké části se týká počítačů
1	TV programy		
		https://tv.seznam.cz/	desítky českých TV stanic
1	TV archívy		
	Česká televize	https://ivysilani.cz/	archív TV pořadů vysílaných na ČT, některé pořady zůstávají i léta, jiné jen dny, dle licence
	Prima	https://iprima.cz/	 archív některých TV pořadů vysílaných na Prima, Prima Zoom, …; lupa vpravo nahoře je na vyhledávání
		https://plex.tv/	rodinný archív filmů a seriálů, obsahuje pouze videa, která si naše rodina sama stáhla
	Hyde park civilizace	https://hydeparkcivilizace.cz/	informace o příštím dílu a archív dílů pořadu Hyde Park Civilizace
1	Videa a hudba na internetu		
2	Videa		
	YouTube	https://youtube.com/	nutné přesně zadat klíčová slova, např. jméno autora nebo interpretra skladby
2	Rádia		
	D-Dur	https://d-dur.rozhlas.cz/	český rozhlas D-dur
	TuneIn	https://tunein.com/	mezinárodní internetová rádia
	di.fm	https://di.fm/	mezinárodní internetová rádia
1	Manuály		
	iPhone	https://support.apple.com/cs_CZ/manuals/iphone	mobilní telefon iPhone, nutné přesně vybrat správný typ
